DEPARTAMENTO_YEAR;ANCASH;AREQUIPA;CALLAO;ICA;LA_LIBERTAD;LIMA;MOQUEGUA;PIURA;NACIONAL
1999;552052;52465;84352;231771;106176;371339;73911;297466;1769532
2000;570810;47880;168492;342507;220667;499518;62644;329011;2241529
2001;592936;43798;80834;170783;165973;335384;52488;193231;1635427
2002;455918;102706;101300;267350;148123;375940;213564;174308;1839209
2003;309887;13892;61565;100223;237876;140910;34816;279899;1179068
2004;619487;39520;141763;95873;273777;420805;121674;215454;1928353
2005;503900;134288;137033;281383;128424;470117;100359;150583;1906087
2006;381981;96471;91359;149595;156638;276799;108510;79105;1340458
2007;376011;109109;93315;112446;191821;256744;111098;134566;1385110
2008;377198;103637;95875;178075;163326;275065;102271;113034;1408481
2009;396524;83645;130420;259415;109869;249469;46356;74170;1349868
2010;270148;8925;77160;118904;112788;84908;62667;45840;781340
2011;338603;90877;187883;359760;107934;381764;68974;101911;1637705
2012;216573;55030;94381;149165;132283;124972;30898;42958;846260
2013;372628;27534;90385;124897;174330;275326;30818;5822;1118572
2014;75251;45492;71239;107392;62545;118678;34807;9201;524605
2015;159458;35966;97516;234041;62997;196103;32978;20646;839705
2016;215097;27853;55539;70825;106228;131958;14497;28242;650239
2017;173350;29971;72714;145595;159237;115060;12159;42221;750307
2018;454522;23844;115603;155690;278335;320080;29869;37416;1415359
2019;256900;36606;57837;92793;208954;112411;11704;33324;810530
2020;358237;25905;101901;64455;317504;160993;20450;45424;1048514
2021;417211;19696;136835;121239;297801;187585;36536;34149;1251052
2022;351801;29750;106567;89177;138235;197121;33894;29858;976405
